Time (s),Magnetic Field x (µT),Magnetic Field y (µT),Magnetic Field z (µT),Absolute field (µT)
11.48008408,25.94175339,-18.24267578,-47.09280396,56.77589253
11.49008308,25.98791885,-18.43540955,-46.80941772,56.6247105
11.50008308,25.92160034,-18.19737244,-46.9800415,56.65860947
11.51008208,26.03259277,-18.4692688,-46.99035645,56.80583927
11.52008208,26.04618454,-18.51617432,-47.20541382,57.00529391
11.53008108,25.95126343,-18.18397522,-46.9855957,56.67249096
11.54008108,25.74468994,-18.31826782,-46.70080566,56.38539923
11.55008008,25.83150482,-18.39242554,-47.15383911,56.82457656
11.56008008,25.92032242,-18.41088867,-47.36071777,57.04262901
11.57007908,26.03676987,-18.34539795,-46.66604614,56.49944136
11.58007908,26.05136871,-18.38484192,-47.17318726,56.93843886
11.59007808,26.00707626,-18.45715332,-46.9055481,56.72005789
11.60007808,25.90317917,-18.18263245,-47.29592896,56.90771221
11.61007808,26.00992966,-18.44769287,-46.62298584,56.48483532
11.62007708,26.27275848,-18.4659729,-46.84802246,56.79777462
11.63007708,26.3120842,-18.18135071,-46.87826538,56.74908857
11.64007608,26.2771759,-18.48757935,-46.96200562,56.90088343
11.65007608,26.26822662,-18.55773926,-47.26495361,57.16979322
11.66007508,26.33850861,-18.47894287,-46.92196655,56.89340305
11.67007508,26.00881958,-18.51603699,-46.95947266,56.78463167
11.68007408,25.89110184,-18.46629333,-46.79016113,56.57448473
11.69007342,26.08132172,-18.42279053,-46.83804321,56.68718414
11.70007242,26.05315399,-18.3949585,-46.9836731,56.78562202
11.71007242,26.19775391,-18.41680908,-46.90014648,56.79018319
11.72007142,26.32939911,-18.27111816,-46.77627563,56.70177227
11.73007142,26.38661575,-18.29321289,-46.63595581,56.61985079
11.74007042,26.34534073,-18.67892456,-46.83581543,56.8908851
11.75007042,26.53311539,-18.41943359,-46.59909058,56.69882705
11.76006942,26.44996643,-18.29562378,-46.82730103,56.80780488
11.77006942,26.38641357,-18.66299438,-46.89361572,56.95227279
11.78006842,26.00475693,-18.55305481,-46.66906738,56.55497393
11.79006842,26.23167038,-18.40991211,-46.89746094,56.80138411
11.80006742,26.34131241,-18.20561218,-47.45257568,57.24557619
11.81006742,26.21250153,-18.087677,-47.02972412,56.79836482
11.82006642,25.92377853,-18.34779358,-46.90216064,56.64359183
11.83006642,26.241436,-18.35325623,-46.83288574,56.73424155
11.84006542,26.34144974,-18.48959351,-46.75238037,56.75845411
11.85006542,26.28529358,-18.3664856,-47.11923218,56.99531992
11.86006442,26.18475723,-18.22781372,-46.85366821,56.68475041
11.87006442,26.03738785,-18.001297,-47.18173218,56.81644226
11.88006342,26.20689011,-18.41369629,-47.08624268,56.94716454
11.89006342,25.9620018,-18.49841309,-46.81542969,56.63833756
11.90006342,26.09157562,-18.5010376,-47.12695313,56.95619739
11.91006242,26.19212723,-18.4203186,-47.00692749,56.87694523
11.92006242,26.29400253,-18.52157593,-47.07150269,57.01008428
11.93006142,26.3396759,-18.44717407,-46.91604614,56.87874949
11.94006142,26.25458527,-18.58235168,-47.04525757,56.99002809
11.95006042,26.24620819,-18.25273132,-46.99649048,56.83920973
11.96006042,26.04992294,-18.18612671,-47.04022217,56.76368726
11.97005942,26.2191658,-18.40916443,-47.16040039,57.01267715
11.98005942,25.94148254,-18.40309143,-46.88424683,56.65480466
11.99005842,26.16056824,-18.33415222,-46.93118286,56.77193314
12.00005842,26.09164429,-18.38284302,-47.11331177,56.90665132
